dimension_code,label_es,definition_es
teaching_method,Método de enseñanza,Formas explícitas de organizar o conducir la enseñanza y el aprendizaje
teacher_authority,Autoridad docente,Formas de autoridad obediencia autonomía jerarquía o legitimidad del docente
discipline,Disciplina escolar,Regulación de conducta sanción castigo premio orden o control escolar
assessment,Evaluación,Examen calificación promoción medición observación o juicio sobre el aprendizaje
materials,Materiales de enseñanza,Objetos soportes libros pizarrón cuadernos instrumentos o tecnologías usados para enseñar
lesson_organization,Organización de la lección,Estructura temporal espacial secuencial o grupal de la enseñanza
teacher_training,Formación docente,Preparación normalista actualización saber profesional y aprendizaje del oficio
inspection_supervision,Inspección y supervisión,Dirección inspección vigilancia acompañamiento o control institucional del trabajo docente
rurality,Ruralidad,Práctica docente vinculada con escuela rural territorio dispersión trabajo comunitario o vida campesina
indigenous_education,Educación indígena,Práctica docente relacionada con pueblos indígenas lenguas indígenas interculturalidad o políticas de incorporación
inclusion_difference,Inclusión y diferencia,Tratamiento pedagógico de discapacidad diferencia clasificación apoyo adaptación o escolarización diferenciada
gender,Género,Expectativas roles o prescripciones diferenciadas por género sobre docentes alumnado o currículo
student_conception,Concepción del alumnado,Representaciones de infancia estudiante aprendizaje capacidad conducta o desarrollo
professional_identity,Identidad profesional,Deberes virtudes misión estatus carrera ética o autopercepción del magisterio
school_community,Escuela y comunidad,Relaciones entre escuela familias comunidad asociaciones autoridades y entorno social
pedagogical_change,Cambio pedagógico,Innovación reforma resistencia continuidad sustitución o controversia sobre modos de enseñar
