source_id,rights_status,source_terms_url,public_commit_policy,review_note,accessed_at
HNDM,metadata_only,https://hndm.iib.unam.mx/index.php/es/tramites-y-servicios?start=1,"No facsimiles, page images or full OCR without documented permission",Default conservative policy based on HNDM published use and reproduction conditions,2026-09-03
UNAM-RI,review_required,https://repositorio.unam.mx/,Assess rights at object or contributing-repository level before committing source content,Repository aggregates heterogeneous resources; do not infer a single reuse license,2026-09-03
SEP-CENTENARIO,review_required,https://centenario.sep.gob.mx/publicaciones,Assess each publication before committing facsimile or full text,Institutional availability does not by itself establish redistribution rights,2026-09-03
BVM-CERVANTES,review_required,https://www.cervantesvirtual.com/,Use catalog metadata and links; review each digital object before committing reproduced content,Digital availability and catalog openness do not automatically authorize republication of every source image or PDF,2026-09-03
UV-DEV,review_required,https://diccionariover.uv.mx/,Use bibliographic descriptions as discovery evidence; do not copy source content wholesale without review,Institutional reference source; object-level rights must be determined separately,2026-09-03
COLMEX-RI,review_required,https://repositorio.colmex.mx/,Use scholarly metadata and citation for discovery; review any attached file before redistribution,Repository items may have heterogeneous rights,2026-09-03
UAM-SIGNOS,review_required,https://signoshistoricos.izt.uam.mx/,Use scholarly citation and metadata for discovery; do not redistribute article files as corpus content,"Academic articles are evidence for source discovery, not automatically redistributable corpus data",2026-09-03
UNAM-TESIUNAM,review_required,https://tesiunam.dgb.unam.mx/,Use thesis metadata and cited reproductions only as secondary discovery evidence until primary source is resolved,Thesis availability does not authorize extraction or redistribution of reproduced historical images,2026-09-03
UNAM-IIB-SIHENA,review_required,https://sihena.iib.unam.mx/,Use index metadata and localizers; review rights before incorporating images or full text,Index metadata supports discovery; source-object reuse remains object-specific,2026-09-03
INTERNET-ARCHIVE,review_required,https://archive.org/about/terms.php,Use stable item links and bibliographic metadata for discovery; do not infer redistribution rights from item availability,Internet Archive hosts heterogeneous contributed and digitized materials; object-level rights and provenance must be reviewed,2026-09-03
BIBMX-FR,review_required,https://bibliotecamexico-fondoreservado.cultura.gob.mx/,Use institutional catalog metadata and stable object links; review download/reproduction conditions before committing source files,Institutional download availability does not by itself establish a reusable corpus license,2026-09-03
HATHITRUST,review_required,https://www.hathitrust.org/help_digital_library_using/,Use catalog metadata and stable full-view links for research; do not commit page-image reproductions until item and jurisdictional rights are documented,"Full view can reflect public-domain status in a particular jurisdiction or access rule, but PDHD does not infer a blanket redistribution license",2026-09-03
GOOGLE-BOOKS,review_required,https://books.google.com/intl/en/googlebooks/terms.html,Use stable book identifiers bibliographic metadata and research localizers; do not mirror scans or full OCR without a documented reuse basis,"Full view or free ebook availability supports consultation and object identity, not automatic relicensing of Google's digital files",2026-09-03
